Gene	CRE1	CRE2	CRE3	CRE4	FLOX1A	FLOX1	FLOX2A	FLOX2	FLOX3	FLOX4A
Glis3	2.97593291	2.631087701	6.462755275	5.179054957	4.138648839	3.365937772	4.140619079	11.79420878	6.712875867	3.055164042
Glmn	3.585906736	3.031470612	2.853367424	2.116985968	1.943365542	3.951318254	1.399645886	4.1155882	2.051156515	1.915950331
Glmp	204.5075883	187.7414535	175.640617	188.2038329	153.1480012	167.2515663	158.6265337	170.4539446	164.5400462	119.1859193
Glo1	23.77049517	23.29847225	21.04663322	20.71621983	20.40533819	26.96931507	20.52813966	21.39724791	22.24572475	17.83042065
Glod4	43.14178516	41.52542762	36.58163363	37.29297602	40.66672337	54.71216863	43.33070388	41.67033052	42.60811487	39.35465546
Glod5	0	0	0.024387756	0	0	0	0.174955736	0	0	0
Glp1r	0	0.095329265	0.024387756	0.01890166	0	0	0	0.038107298	0.037293755	0.051782441
Glp2r	0.665425992	0.152526823	0.097551023	0.056704981	0.017994125	0.020906446	0.058318579	0.171482842	0.242409406	0
Glra1	0	0	0	0	0.035988251	0	0	0	0	0
Glrb	4.87979061	2.840812083	2.487551087	3.421200537	6.171985007	6.982752893	10.65286035	5.182592548	8.633504239	10.70170455
Glrp1	0.51755355	0.209724382	0.414591848	0.642656454	0.377876633	0.313596687	0.388790524	1.581452873	0.447525058	0.276173021
Glrx	67.07863683	63.81340967	89.45428811	85.60562007	98.48184824	100.8945074	100.6967457	106.4336837	117.6804433	122.1029968
Glrx2	23.23445756	24.23269904	20.99785771	20.62171152	25.17378141	28.05645025	25.56297694	21.83548184	22.58136854	23.66457571
Glrx3	92.75298969	91.95460855	63.65204252	70.61660335	85.07622482	102.6088359	83.2789302	83.81700228	85.19758287	78.12244324
Glrx5	45.61864858	51.59219796	30.41153143	48.7662839	47.21658501	51.49257597	46.82981859	31.68621841	38.87873939	31.10398646
Gls	128.5566049	116.8736783	146.3996978	140.1936154	99.0936485	115.9053354	101.8825568	149.5139843	143.3385466	145.4741387
Gls2	1.497208483	2.078177966	0.63408165	1.285312909	0.827729768	0.857164277	0.97197631	0.552555823	1.305281418	1.984993587
Glt1d1	0.462101383	0.45758047	0.341428581	0.43473819	1.457524156	0.209064458	0.66094389	0.762145963	1.100165767	1.121952897
Glt28d2	0	0	0	0.075606642	0	0	0	0	0.055940632	0
Glt8d1	25.85919342	24.84280633	24.363368	25.63065154	22.42068023	22.18173898	21.1502045	27.30387912	23.08483423	20.16063051
Glt8d2	0	0.038131706	0.097551023	0.037803321	0.017994125	0.313596687	0.272153367	0.038107298	0.111881264	0.017260814
Gltp	283.7487335	273.0802111	237.048986	235.7793122	184.6017323	241.8875778	179.5240244	240.2474612	216.5275404	171.2272729
Glud1	409.4218258	394.5296941	338.9410295	321.8574737	426.5687364	393.563842	448.8003412	362.419459	343.5314225	430.1049582
Glul	612.1549447	661.3753714	625.05818	570.3008984	276.5157248	464.7711963	275.4969652	584.5659536	417.9511102	228.8611301
Glyctk	0.720878158	0.209724382	0.146326535	0.075606642	0.215929505	0.355409578	0.524867207	0.476341227	0.111881264	0.414259531
Glyr1	123.3441013	118.0176295	131.2792892	116.8122614	138.8786597	131.1461344	132.2276571	152.3339243	141.3246839	138.7769429
Gm10037	0.147872443	0.019065853	0.17071429	0.056704981	0.269911881	0	0.174955736	0.114321894	0.07458751	0.086304069
Gm10053	1.719017147	1.410873115	1.024285742	1.436526192	1.763424288	2.027925241	1.768996883	1.581452873	1.622278334	1.467169173
